index,language,code
0,Python,"
from pylearn2.datasets.mnistplus import MNISTPlus
from pylearn2.space import IndexSpace, VectorSpace
import unittest
from pylearn2.testing.skip import skip_if_no_data
import numpy as np

def test_MNISTPlus():
    
    skip_if_no_data()
    for subset in ['train', 'valid', 'test']:
        ids = MNISTPlus(which_set=subset)
        assert 0.01 >= ids.X.min() >= 0.0
        assert 0.99 <= ids.X.max() <= 1.0
        topo = ids.get_batch_topo(1)
        assert topo.ndim == 4
        del ids

    train_y = MNISTPlus(which_set='train', label_type='label')
    assert 0.99 <= train_y.X.max() <= 1.0
    assert 0.0 <= train_y.X.min() <= 0.01
    assert train_y.y.max() == 9
    assert train_y.y.min() == 0
    assert train_y.y.shape == (train_y.X.shape[0], 1)

    train_y = MNISTPlus(which_set='train', label_type='azimuth')
    assert 0.99 <= train_y.X.max() <= 1.0
    assert 0.0 <= train_y.X.min() <= 0.01
    assert 0.0 <= train_y.y.max() <= 1.0
    assert 0.0 <= train_y.y.min() <= 1.0
    assert train_y.y.shape == (train_y.X.shape[0], 1)

    train_y = MNISTPlus(which_set='train', label_type='rotation')
    assert 0.99 <= train_y.X.max() <= 1.0
    assert 0.0 <= train_y.X.min() <= 0.01
    assert train_y.y.max() == 9
    assert train_y.y.min() == 0
    assert train_y.y.shape == (train_y.X.shape[0], 1)

    train_y = MNISTPlus(which_set='train', label_type='texture_id')
    assert 0.99 <= train_y.X.max() <= 1.0
    assert 0.0 <= train_y.X.min() <= 0.01
    assert train_y.y.max() == 9
    assert train_y.y.min() == 0
    assert train_y.y.shape == (train_y.X.shape[0], 1)"
1,Python,"
import sys
import hyperdex.client
from hyperdex.client import LessEqual, GreaterEqual, Range, Regex, LengthEquals, LengthLessEqual, LengthGreaterEqual
c = hyperdex.client.Client(sys.argv[1], int(sys.argv[2]))
def to_objectset(xs):
    return set([frozenset(x.items()) for x in xs])
assert c.put('kv', 'k', {}) == True
assert c.get('kv', 'k') == {'v': {}}
assert c.put('kv', 'k', {'v': {1: 3.14, 2: 0.25, 3: 1.0}}) == True
assert c.get('kv', 'k') == {'v': {1: 3.14, 2: 0.25, 3: 1.0}}
assert c.put('kv', 'k', {'v': {}}) == True
assert c.get('kv', 'k') == {'v': {}}"
2,Python,"
from __future__ import (nested_scopes, generators, division, absolute_import, with_statement,
                        print_function, unicode_literals)
from contextlib import contextmanager

import os
import unittest2 as unittest

from pants.fs.fs import expand_path
from pants.util.contextutil import environment_as, pushd, temporary_dir

class ExpandPathTest(unittest.TestCase):
  def test_pure_relative(self):
    with self.root() as root:
      self.assertEquals(os.path.join(root, 'a'), expand_path('a'))

  def test_dot_relative(self):
    with self.root() as root:
      self.assertEquals(os.path.join(root, 'a'), expand_path('./a'))

  def test_absolute(self):
    self.assertEquals('/tmp/jake/bob', expand_path('/tmp/jake/bob'))

  def test_user_expansion(self):
    with environment_as(HOME='/tmp/jake'):
      self.assertEquals('/tmp/jake/bob', expand_path('~/bob'))

  def test_env_var_expansion(self):
    with self.root() as root:
      with environment_as(A='B', C='D'):
        self.assertEquals(os.path.join(root, 'B/D/E'), expand_path('$A/${C}/E'))

  @contextmanager
  def root(self):
    with temporary_dir() as root:
      
      real_root = os.path.realpath(root)
      with pushd(real_root):
        yield real_root"
3,Python,"import unittest
from mock import Mock
from nosealert.plugin import AlertPlugin
from nosealert.notifications import Notification

class TestAlertPlugin(unittest.TestCase):

    def setUp(self):
        self.plugin = AlertPlugin()

    def test_get_notification_success(self):
        result = Mock(
            failures=[],
            errors=[],
            testsRun=3,
        )

        self.assertEqual(self.plugin.get_notification(result), Notification(
            total=3,
        ))

    def test_get_notification_with_fails(self):
        result = Mock(
            failures=[1, 2],
            errors=[3],
            testsRun=5,
        )

        self.assertEqual(self.plugin.get_notification(result), Notification(
            fails=2,
            errors=1,
            total=5,
        ))

    def test_finalize_sends_notification(self):
        notification = Mock()
        result = Mock()
        self.plugin.get_notification = Mock(return_value=notification)
        self.plugin.finalize(result)
        notification.send.assert_called_once_with()
"
4,Python,"
import signal

import boto.sqs
import ujson

from mobile_push.config import setting
from mobile_push.logger import logger
from mobile_push.message_router import MessageRouter

keep_running = True

def sigterm_handler(signum, _):

    global keep_running

    logger.warn('Receive SIGTERM')
    keep_running = False

def get_queue():

    conn = boto.sqs.connect_to_region(setting.get('sqs', 'region'))
    return conn.get_queue(setting.get('sqs', 'queue'))

def poll_message(queue):

    message = queue.read(wait_time_seconds=20)

    if message is None:
        return

    try:
        body = message.get_body()
        units = ujson.loads(body)
    except ValueError:
        logger.error('Cannot parse: %s', body)
        units = []

    if not isinstance(units, list):
        units = [units]

    for unit in units:
        try:
            MessageRouter(unit).get_actor().run(unit)
        except MessageRouter.BaseError:
            logger.error('Cannot route message: %s', ujson.dumps(unit))
        except Exception as e:
            logger.exception(e)

    queue.delete_message(message)

def main():

    signal.signal(signal.SIGTERM, sigterm_handler)
    q = get_queue()

    while keep_running:
        poll_message(q)

if __name__ == '__main__':

    main()"
5,Python,"import collections
import json
import unittest

import responses
from requests import HTTPError
from mock import patch

from batfish import Client
from batfish.__about__ import __version__

class TestClientAuthorize(unittest.TestCase):

    def setUp(self):
        with patch('batfish.client.read_token_from_conf',
                   return_value=None):
            self.cli = Client()

    @responses.activate
    def test_authorize_error(self):
        url = ""https://api.digitalocean.com/v2/actions""
        responses.add(responses.GET, url,
                      body='{""error"": ""something""}', status=500,
                      content_type=""application/json"")
        with self.assertRaises(HTTPError):
            self.cli.authorize(""test_token"")

    @responses.activate
    def test_authorize_unauthorized(self):
        url = ""https://api.digitalocean.com/v2/kura""
        body = {'id': ""unauthorized"", 'message': ""Unable to authenticate you.""}
        responses.add(responses.GET, url, body=json.dumps(body), status=401,
                      content_type=""application/json"")
        self.cli.authorize(""test_token"")
        self.assertEquals(responses.calls[0].response.status_code, 401)

    @responses.activate
    def test_authorize_unauthorized(self):
        url = ""https://api.digitalocean.com/v2/actions""
        responses.add(responses.GET, url,
                      body='{""error"": ""something""}', status=200,
                      content_type=""application/json"")
        auth = self.cli.authorize(""test_token"")
        self.assertEquals(auth, ""OK"")
        self.assertEquals(responses.calls[0].response.status_code, 200)"
6,Python,"
from builtins import range
def writeMeshMatlabFormat(mesh,meshFileBase):
    
    import numpy as numpy
    matlabBase = 1
    p = numpy.zeros((2,mesh['nNodes_global']),numpy.float_)
    e = numpy.zeros((7,mesh['nElementBoundaries_global']),numpy.float_)
    t = numpy.zeros((4,mesh['nElements_global']),numpy.float_)

    mfile = open(meshFileBase+'.m','w')

    mfile.write('p = [ ... \n')
    for nN in range(mesh['nNodes_global']):
        p[0,nN]=mesh['nodeArray'][nN,0]
        p[1,nN]=mesh['nodeArray'][nN,1]
        mfile.write('%g %g \n' % tuple(p[:,nN]))
    mfile.write(']; \n')
    mfile.write(""p = p\';\n"")  

    mfile.write('e = [ ... \n')
    for ebN in range(mesh['nElementBoundaries_global']):
        e[0,ebN]=mesh['elementBoundaryNodesArray'][ebN,0] + matlabBase 
        e[1,ebN]=mesh['elementBoundaryNodesArray'][ebN,1] + matlabBase 
        e[2,ebN]=0.0 
        e[3,ebN]=1.0
        e[4,ebN]=ebN + matlabBase  
        e[5,ebN]=0 
        e[6,ebN]=1 
        mfile.write('%g %g %g %g %g %g %g \n' % tuple(e[:,ebN]))
    mfile.write(']; \n')
    mfile.write(""e = e\';\n"")  

    mfile.write('t = [ ... \n')
    for eN in range(mesh['nElements_global']):
        t[0,eN]=mesh['elementNodesArray'][eN,0]+matlabBase    
        t[1,eN]=mesh['elementNodesArray'][eN,1]+matlabBase    
        t[2,eN]=mesh['elementNodesArray'][eN,2]+matlabBase    
        t[3,eN]=1                     
        mfile.write('%g %g %g %g \n' % tuple(t[:,eN]))
    mfile.write(']; \n');
    mfile.write(""t = t\';\n"") 

    mfile.close()
    return p,e,t

if __name__ == '__main__':
    import os,shelve
    import ppmatlab,numpy.oldnumeric as numpy

    os.listdir('./results')

    filename = './results/re_forsyth2_ss_2d_pre_forsyth2_ss_2d_c0p1_n_mesh_results.dat'

    res = shelve.open(filename)

    mesh = res['mesh']

    mmfile = 'forsyth2MeshMatlab'
    p,e,t = ppmatlab.writeMeshMatlabFormat(mesh,mmfile)"
7,Python,"from collections import defaultdict
import codecs

def count(corpus, output_file):
    debug = False
    dic = defaultdict(int)
    other = set()
    fout = codecs.open(output_file, 'w', 'utf8')
    for line in open(corpus, 'r'):
        words = line.split()
        for word in words:
            if len(word) % 3 == 0:
                for i in xrange(len(word) / 3):
                    dic[word[i:i+3]] += 1
            else:
                other.add(word)
    fout.write('%i %i\n' % (len(dic), len(other)))
    
    record_list = [(y, x) for x, y in dic.items()]
    record_list.sort()
    record_list.reverse()
    i = 0
    for x, y in record_list:
        
        try:
            yy = y.decode('GBK')
        except:
            print y
            yy = 'N/A'
        fout.write('%s %i\n' % (yy, x))
        i += 1
        if i > 10 and debug:
            break

    other_list = list(other)
    other_list.sort()
    for item in other_list:
        
        item2 = item.decode('utf8')
        fout.write(item2)
        fout.write('\n')
        i += 1
        if i > 20 and debug:
            break
    fout.close()

if __name__ =='__main__':
    count('data/train.zh_parsed', 'output/count.zh')
    count('data/train.ja_parsed', 'output/count.ja')"
8,Python,"import pilas
import json
from pilas.escena import Base
from general import General
from individual import Individual

class jugadores(Base):

	def __init__(self):
		Base.__init__(self)
		
	def fondo(self):
		pilas.fondos.Fondo(""data/img/fondos/aplicacion.jpg"")

	def general(self):
		self.sonido_boton.reproducir()
		pilas.almacenar_escena(General())

	def individual(self):
		self.sonido_boton.reproducir()
		pilas.almacenar_escena(Individual())

	def volver(self):
		self.sonido_boton.reproducir()
		pilas.recuperar_escena()

	def iniciar(self):
		self.fondo()
		self.sonido_boton = pilas.sonidos.cargar(""data/audio/boton.ogg"")
		self.interfaz()
		self.mostrar()

	def interfaz(self):
		opcion= [(""General"",self.general),(""Individual"",self.individual),(""Volver"",self.volver)]
		menu = pilas.actores.Menu(opcion, y=50, fuente=""data/fonts/American Captain.ttf"")
		menu.escala = 1.3
		enunciado = pilas.actores.Actor(""data/img/enunciados/estadisticas.png"",y=250)
		enunciado.escala = 0.3"
9,Python,"
from django.shortcuts import render_to_response
from django.template.context import RequestContext
from help.models import ConditionsChapter, FAQ

def faqs(request):

    extra_context = {}

    extra_context['faqs'] = FAQ.objects.all()

    return render_to_response('help/faqs.html',
                              extra_context,
                              context_instance=RequestContext(request))

def terms(request):

    extra_context = {}

    extra_context['termsandconditions'] = ConditionsChapter.objects.all()

    return render_to_response('help/terms-and-conditions.html',
                              extra_context,
                              context_instance=RequestContext(request))

def about(request):

    extra_context = {}

    return render_to_response('help/about.html',
                              extra_context,
                              context_instance=RequestContext(request))"
